72,220,94,220,94,244,72,244,text
98,220,142,220,142,244,98,244,text
455,374,524,374,524,398,455,398,text
542,416,604,416,604,440,542,440,text
556,536,606,536,606,558,556,558,text
556,556,606,556,606,580,556,580,text
474,80,508,80,508,102,474,102,text
512,80,544,80,544,102,512,102,text
460,100,518,100,518,124,460,124,text
254,398,314,398,314,420,254,420,text
326,402,378,402,378,424,326,424,text
338,422,380,422,380,446,338,446,text
384,422,412,422,412,446,384,446,text
414,410,458,410,458,432,414,432,text
