46,46,60,46,60,70,46,70,text
66,46,104,46,104,70,66,70,text
38,68,88,68,88,90,38,90,text
208,70,258,70,258,94,208,94,text
264,70,298,70,298,94,264,94,text
192,92,256,92,256,114,192,114,text
202,142,248,142,248,166,202,166,text
212,194,274,194,274,216,212,216,text
226,214,276,214,276,238,226,238,text
280,214,330,214,330,238,280,238,text
560,414,592,414,592,438,560,438,text
596,414,628,414,628,438,596,438,text
550,436,598,436,598,458,550,458,text
544,470,602,470,602,492,544,492,text
500,78,532,78,532,100,500,100,text
536,78,578,78,578,100,536,100,text
472,500,528,500,528,524,472,524,text
486,522,516,522,516,544,486,544,text
522,522,564,522,564,544,522,544,text
264,416,300,416,300,440,264,440,text
304,416,336,416,336,440,304,440,text
256,488,328,488,328,512,256,512,text
272,576,294,576,294,600,272,600,text
300,576,354,576,354,600,300,600,text
260,598,322,598,322,620,260,620,text
