58,450,141,450,141,472,58,472,text
82,470,118,470,118,494,82,494,text
124,470,180,470,180,494,124,494,text
176,444,234,444,234,466,176,466,text
490,388,530,388,530,412,490,412,text
534,388,564,388,564,412,534,412,text
322,122,376,122,376,146,322,146,text
380,122,408,122,408,146,380,146,text
314,144,368,144,368,166,314,166,text
436,488,510,488,510,510,436,510,text
312,438,370,438,370,460,312,460,text
312,458,344,458,344,482,312,482,text
348,458,374,458,374,482,348,482,text
276,574,290,574,290,596,276,596,text
296,574,330,574,330,596,296,596,text
262,594,322,594,322,618,262,618,text
340,534,374,534,374,558,340,558,text
378,534,402,534,402,558,378,558,text
412,534,470,534,470,556,412,556,text
476,534,514,534,514,556,476,556,text
394,554,470,554,470,578,394,578,text
