44,52,96,52,96,76,44,76,text
42,392,108,392,108,416,42,416,text
60,486,122,486,122,508,60,508,text
60,506,122,506,122,530,60,530,text
54,188,78,188,78,210,54,210,text
82,188,118,188,118,210,82,210,text
32,328,98,328,98,350,32,350,text
242,480,298,480,298,502,242,502,text
208,528,270,528,270,552,208,552,text
224,550,246,550,246,572,224,572,text
250,550,282,550,282,572,250,572,text
354,498,422,498,422,520,354,520,text
464,456,494,456,494,478,464,478,text
500,456,528,456,528,478,500,478,text
458,476,498,476,498,500,458,500,text
522,490,574,490,574,514,522,514,text
48,216,78,216,78,238,48,238,text
82,216,126,216,126,238,82,238,text
582,198,612,198,612,222,582,222,text
618,198,640,198,640,222,618,222,text
578,220,618,220,618,242,578,242,text
594,172,620,172,620,194,594,194,text
624,172,640,172,640,194,624,194,text
