80,316,140,316,140,340,80,340,text
94,380,122,380,122,404,94,404,text
126,380,146,380,146,404,126,404,text
94,402,116,402,116,424,94,424,text
120,402,164,402,164,424,120,424,text
136,442,182,442,182,464,136,464,text
188,442,212,442,212,464,188,464,text
280,200,328,200,328,222,280,222,text
280,220,325,220,325,244,280,244,text
246,356,292,356,292,378,246,378,text
304,258,350,258,350,280,304,280,text
26,294,64,294,64,318,26,318,text
32,316,64,316,64,338,32,338,text
242,524,284,524,284,546,242,546,text
320,330,392,330,392,352,320,352,text
374,262,422,262,422,286,374,286,text
370,284,426,284,426,306,370,306,text
448,188,494,188,494,210,448,210,text
508,188,570,188,570,210,508,210,text
450,600,520,600,520,622,450,622,text
546,456,598,456,598,480,546,480,text
546,478,596,478,596,500,546,500,text
