64,62,116,62,116,84,64,84,text
54,146,98,146,98,168,54,168,text
62,166,110,166,110,190,62,190,text
116,166,146,166,146,190,116,190,text
350,244,396,244,396,266,350,266,text
400,244,436,244,436,266,400,266,text
350,264,384,264,384,288,350,288,text
390,264,440,264,440,288,390,288,text
354,318,394,318,394,342,354,342,text
400,318,430,318,430,342,400,342,text
352,468,408,468,408,492,352,492,text
394,340,446,340,446,364,394,364,text
148,76,202,76,202,100,148,100,text
232,64,250,64,250,86,232,86,text
254,64,302,64,302,86,254,86,text
174,202,226,202,226,226,174,226,text
174,224,248,224,248,246,174,246,text
406,18,480,18,480,40,406,40,text
434,152,482,152,482,176,434,176,text
442,174,474,174,474,196,442,196,text
480,174,500,174,500,196,480,196,text
438,514,506,514,506,538,438,538,text
374,502,390,502,390,526,374,526,text
