58,54,74,54,74,76,58,76,text
78,54,104,54,104,76,78,76,text
54,74,96,74,96,98,54,98,text
100,74,122,74,122,98,100,98,text
310,76,364,76,364,100,310,100,text
304,98,370,98,370,120,304,120,text
318,454,334,454,334,476,318,476,text
340,454,400,454,400,476,340,476,text
306,474,370,474,370,498,306,498,text
308,520,368,520,368,544,308,544,text
322,542,336,542,336,564,322,564,text
340,542,384,542,384,564,340,564,text
408,98,430,98,430,122,408,122,text
436,98,460,98,460,122,436,122,text
398,462,450,462,450,486,398,486,text
394,484,454,484,454,506,394,506,text
426,286,460,286,460,310,426,310,text
464,286,502,286,502,310,464,310,text
450,164,502,164,502,186,450,186,text
120,58,172,58,172,82,120,82,text
222,100,286,100,286,122,222,122,text
432,408,450,408,450,432,432,432,text
456,408,508,408,508,432,456,432,text
142,438,206,438,206,460,142,460,text
144,472,206,472,206,494,144,494,text
146,492,202,492,202,516,146,516,text
460,246,512,246,512,268,460,268,text
