10,354,32,354,32,412,10,412,text
34,333,78,333,78,353,34,353,text
34,352,88,352,88,372,34,372,text
34,371,70,371,70,391,34,391,text
34,390,78,390,78,410,34,410,text
142,166,166,166,166,178,142,178,text
234,388,256,388,256,426,234,426,text
258,404,306,404,306,424,258,424,text
362,306,422,306,422,360,362,360,text
370,182,410,182,410,196,370,196,text
484,434,504,434,504,470,484,470,text
506,411,544,411,544,431,506,431,text
506,430,544,430,544,450,506,450,text
506,449,552,449,552,469,506,469,text
540,104,592,104,592,116,540,116,text
302,596,338,596,338,616,302,616,text
