80,380,130,380,130,402,80,402,text
106,194,132,194,132,218,106,218,text
138,194,196,194,196,218,138,218,text
458,414,508,414,508,436,458,436,text
458,434,514,434,514,458,458,458,text
390,442,436,442,436,466,390,466,text
306,116,330,116,330,138,306,138,text
334,116,388,116,388,138,334,138,text
306,136,344,136,344,160,306,160,text
349,136,383,136,383,160,349,160,text
170,386,216,386,216,410,170,410,text
270,424,338,424,338,446,270,446,text
270,444,350,444,350,468,270,468,text
366,518,398,518,398,542,366,542,text
404,518,448,518,448,542,404,542,text
